Word,Rank,Frequency
tribe,822,254
righteous,823,253
therein,824,253
joseph,825,253
order,826,252
ears,827,252
dashwood,828,252
kill,829,252
beast,830,252
ark,831,252
throne,832,252
queequeg,833,252
late,834,251
tongue,835,251
stones,836,250
north,837,249
story,838,248
grey,839,248
speaking,840,247
sitting,841,247
smile,842,247
everything,843,247
smote,844,247
prophets,845,247
disciples,846,247
paul,847,247
horses,848,246
believed,849,246
entered,850,246
sacrifice,851,246
talking,852,245
arms,853,245
departed,854,245
wrath,855,245
sperm,856,245
met,857,244
trust,858,244
caught,859,244
sky,860,244
lifted,861,244
bright,862,244
perfectly,863,243
understanding,864,243
plain,865,243
human,866,243
churchill,867,242
dwelt,868,242
stranger,869,242
inheritance,870,242
minutes,871,241
fairfax,872,241
turning,873,241
rich,874,240
hat,875,240
thence,876,239
trouble,877,238
built,878,238
ma,879,237
across,880,237
lo,881,237
fifty,882,236
desire,883,236
loved,884,235
afterwards,885,235
greater,886,235
forty,887,235
cloud,888,235
43,889,235
happiness,890,234
thinking,891,234
spread,892,234
lips,893,233
show,894,233
caesar,895,233
ear,896,231
jennings,897,230
lucy,898,230
buster,899,230
struck,900,229
drew,901,229
court,902,229
yourselves,903,229
begat,904,229
walking,905,228
fact,906,228
whatever,907,227
shut,908,227
big,909,227
age,910,226
frank,911,226
service,912,225
seat,913,225
stars,914,225
mad,915,225
form,916,224
led,917,224
natural,918,223
exactly,919,223
nobody,920,223
talked,921,223
particular,922,223
worse,923,223
around,924,223
mountain,925,223
obliged,926,222
offered,927,222
clear,928,222
grass,929,222
inhabitants,930,222
48,931,222
deck,932,221
hours,933,220
different,934,220
appear,935,220
heavy,936,220
rejoice,937,220
opinion,938,219
noise,939,219
moreover,940,219
giving,941,218
tried,942,218
faces,943,218
horse,944,218
presence,945,218
sheep,946,218
gather,947,218
wentworth,948,218
joshua,949,218
equal,950,217
acquaintance,951,217
beside,952,217
willoughby,953,217
taste,954,216
try,955,216
touch,956,216
forget,957,216
character,958,215
fancy,959,215
sorry,960,214
farmer,961,214
says,962,214
bound,963,214
pay,964,213
church,965,213
purpose,966,213
fat,967,213
cubits,968,213
arose,969,212
charge,970,212
figure,971,212
fled,972,212
families,973,210
ashamed,974,210
46,975,210
fallen,976,209
shame,977,209
hearts,978,209
reign,979,209
youth,980,208
?',981,208
dr,982,208
enemy,983,208
45,984,208
feeling,985,207
road,986,207
cross,987,207
sudden,988,207
delight,989,207
broad,990,207
destroyed,991,207
clothes,992,207
streets,993,207
interest,994,206
happened,995,206
sought,996,206
wherein,997,206
slew,998,206
gates,999,205
carry,1000,205
queen,1001,205
moon,1002,205
meant,1003,204
dare,1004,204
clean,1005,204
dream,1006,204
beasts,1007,204
slain,1008,204
dinner,1009,203
promise,1010,203
countenance,1011,203
beauty,1012,202
aside,1013,202
woe,1014,202
repeated,1015,201
consider,1016,201
write,1017,201
re,1018,201
attention,1019,200
prince,1020,200
aye,1021,200
ships,1022,200
jordan,1023,200
rain,1024,199
ah,1025,199
pain,1026,199
unclean,1027,199
th,1028,199
pleasant,1029,198
tis,1030,198
satisfied,1031,198
object,1032,198
instead,1033,198
starbuck,1034,198
looks,1035,197
ladies,1036,197
favour,1037,197
thank,1038,197
besides,1039,197
stop,1040,197
peter,1041,197
gentlemen,1042,196
build,1043,196
bless,1044,195
heavens,1045,195
49,1046,195
lion,1047,195
carriage,1048,194
mere,1049,194
prepared,1050,194
loud,1051,194
months,1052,193
chance,1053,193
throughout,1054,193
nay,1055,193
witness,1056,193
valley,1057,193
moved,1058,192
ago,1059,191
running,1060,191
arise,1061,191
sins,1062,191
lamb,1063,191
golden,1064,191
vessels,1065,191
ere,1066,190
nigh,1067,190
entirely,1068,189
speech,1069,189
worship,1070,189
reigned,1071,189
conversation,1072,188
goes,1073,188
creature,1074,188
rising,1075,188
grave,1076,188
remain,1077,188
hid,1078,188
neck,1079,188
whosoever,1080,188
breath,1081,187
devil,1082,187
alive,1083,187
usual,1084,186
tears,1085,186
fixed,1086,186
fields,1087,185
self,1088,184
regard,1089,184
several,1090,184
raised,1091,184
remained,1092,184
minute,1093,184
front,1094,184
wide,1095,184
archer,1096,184
vs,1097,184
wished,1098,183
knows,1099,183
